manu,model,release,mem,bandwidth,cores,ebay_com,ebay_com_link,ebay_any,ebay_any_link
NVIDIA,Tesla P40,2016/09,24GB,347GB/s,3840,400€,https://www.ebay.de/sch/i.html?_nkw=tesla+p40&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_fsrp=1&_odkw=rtx+6000&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,250€,https://www.ebay.de/sch/i.html?_nkw=tesla+p40&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=rtx+6000&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,Tesla P100,2016/06,16GB,732GB/s,3584,150€,https://www.ebay.de/sch/i.html?_nkw=tesla+p100&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&LH_TitleDesc=0&_fsrp=1&_odkw=tesla+p40&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,125€,https://www.ebay.de/sch/i.html?_nkw=tesla+p100&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=tesla+p40&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,Tesla V100 1,2017/06,16GB,897GB/s,5120,370€,https://www.ebay.de/sch/i.html?_nkw=tesla+v100&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_fsrp=1&_odkw=tesla+p100&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,250€,https://www.ebay.de/sch/i.html?_nkw=tesla+v100&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=tesla+p100&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,Tesla V100 2,2018/03,32GB,897GB/s,5120,1000€,https://www.ebay.de/sch/i.html?_nkw=tesla+v100+32gb&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&LH_TitleDesc=0&_fsrp=1&_odkw=tesla+v100&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,560€,https://www.ebay.de/sch/i.html?_nkw=tesla+v100+32gb&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=tesla+v100&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,Quadro RTX 5000,2018/08,16GB,448GB/s,3072,550€,https://www.ebay.de/sch/i.html?_fsrp=1&rt=nc&_from=R40&_nkw=quadro+rtx+5000&_sacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,450€,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+5000&_sacat=0&_from=R40&LH_BIN=1&_sop=15
NVIDIA,Quadro RTX 6000,2018/08,24GB,672GB/s,4608,1100€,https://www.ebay.de/sch/i.html?_nkw=rtx+6000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_fsrp=1&_odkw=rtx+4500+ada&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,900€,https://www.ebay.de/sch/i.html?_nkw=rtx+6000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=rtx+4500+ada&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,RTX A4000,2021/04,16GB,448GB/s,6144,1000€,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a4000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_fsrp=1&_odkw=quadro+gv100&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,1000€,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a4000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=quadro+gv100&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,RTX A4500,2021/11,20GB,640GB/s,7168,1400€,https://www.ebay.de/sch/i.html?_nkw=rtx+a4500&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&LH_TitleDesc=0&_fsrp=1&_odkw=rtx+4500&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,1100€,https://www.ebay.de/sch/i.html?_nkw=rtx+a4500&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&LH_TitleDesc=0&_odkw=rtx+4500&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,RTX A5000,2021/04,24GB,768GB/s,8192,n.a.,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a5000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&LH_TitleDesc=0&_fsrp=1&_odkw=quadro+rtx+a4000&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,3000€,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a5000&_sacat=0&_from=R40&_trksid=p2334524.m570.l1313&_odkw=quadro+rtx+a4000&_osacat=0&LH_BIN=1&_sop=15
NVIDIA,RTX A5500,2022/03,24GB,768GB/s,10240,n.a.,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a5500&_sacat=0&_from=R40&_trksid=m570.l1313&LH_TitleDesc=0&_fsrp=1&_odkw=quadro+rtx+a5000&_osacat=0&LH_BIN=1&_sop=15&LH_PrefLoc=1&LH_SellerType=2,3600€,https://www.ebay.de/sch/i.html?_nkw=quadro+rtx+a5500&_sacat=0&_from=R40&_trksid=m570.l1313&_odkw=quadro+rtx+a5000&_osacat=0&LH_BIN=1&_sop=15
